Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Thu Oct 01 21:34:27 EDT 2020,SDUTIL.java,1601602467570,19406,0,(R)2(I)22(R)1,0.88,0.0,0.0,0.0,0.0,0.0,1.3157894736842106,0.0,0.0,0.0,0.0,0.15789473684210525,1.1578947368421053,0.0,[]
,/modelData/A0UserStudy2010.arff,Thu Oct 01 21:34:27 EDT 2020,SDUTIL.java, 1601602467570
2,,Thu Oct 01 21:34:48 EDT 2020,SDUTIL.java,1601602488531,7807,7807,(I)1(R)3(I)19,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,3.2857142857142856,0.0,0.0,0.0,0.0,0.42857142857142855,2.857142857142857,0.0,[]
3,,Thu Oct 01 21:34:57 EDT 2020,SDUTIL.java,1601602497234,26987,0,(I)2(R)1(I)4(R)1(I)17,0.92,0.0,0.0,0.0,0.0,0.0,0.9615384615384616,0.0,0.0,0.0,0.0,0.07692307692307693,0.8846153846153846,0.0,[]
4,,Thu Oct 01 21:35:24 EDT 2020,SDUTIL.java,1601602524226,22064,0,(I)1(R)2(I)4(R)2(I)1(F)1(I)1(R)1(I)1(R)1(F)1(I)3(R)2(I)1,0.5454545454545454,0.0,0.0,9.090909090909092,0.0,0.0,1.0,0.0,0.0,0.09090909090909091,0.0,0.36363636363636365,0.5454545454545454,0.0,[]
5,,Thu Oct 01 21:35:46 EDT 2020,SDUTIL.java,1601602546286,43631,0,(I)5(R)1(I)1(R)1(I)3(R)2(I)11,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5581395348837209,0.0,0.0,0.0,0.0,0.09302325581395349,0.46511627906976744,0.0,[]
6,,Thu Oct 01 21:36:29 EDT 2020,SDUTIL.java,1601602589922,2503,2503,(I)1(R)8(I)10(R)2(I)4,0.6,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,5.0,7.5,0.0,[]
7,,Thu Oct 01 21:36:33 EDT 2020,SDUTIL.java,1601602593022,7675,7675,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,[]
8,,Thu Oct 01 21:36:43 EDT 2020,SDUTIL.java,1601602603087,2990,2990,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,[]
9,,Thu Oct 01 21:36:46 EDT 2020,SDUTIL.java,1601602606981,27036,0,(I)4(R)2(I)6(R)4(I)3(R)1(I)1(R)1(I)2,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.2962962962962963,0.5925925925925926,0.0,[]
10,,Thu Oct 01 21:37:14 EDT 2020,SDUTIL.java,1601602634400,13173,0,(R)4(I)12(R)1(I)1(R)1(I)1(R)2(I)3,0.68,0.0,0.0,0.0,0.0,0.0,1.9230769230769231,0.0,0.0,0.0,0.0,0.6153846153846154,1.3076923076923077,0.0,[]
11,,Thu Oct 01 21:37:32 EDT 2020,SDUTIL.java,1601602652997,2836,2836,(I)4(R)4(I)6(R)4(I)7,0.68,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,4.0,8.5,0.0,[]
12,,Thu Oct 01 21:37:35 EDT 2020,SDUTIL.java,1601602655828,9484,9484,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,[]
13,,Thu Oct 01 21:37:45 EDT 2020,SDUTIL.java,1601602665704,10477,0,(I)6(R)2(I)3(R)1(I)2(R)2(I)2(R)1(I)2,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.6,1.5,0.0,[]
14,,Thu Oct 01 21:37:56 EDT 2020,SDUTIL.java,1601602676182,-1562,-1562,(I)10(R)2(I)3(R)1(I)2(R)2(I)1(R)1(I)1,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
15,,Thu Oct 01 21:37:54 EDT 2020,SDUTIL.java,1601602674844,44784,0,(I)5(R)2(I)4(R)2(I)1(R)2(I)1(R)6,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.5227272727272727,0.0,0.0,0.0,0.0,0.2727272727272727,0.25,0.0,[]
16,,Thu Oct 01 21:38:39 EDT 2020,SDUTIL.java,1601602719755,1156,1156,(R)9(I)1(R)1(I)1(R)12,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,[]
17,,Thu Oct 01 21:38:41 EDT 2020,SDUTIL.java,1601602721167,16240,0,(R)1(I)1(R)1(I)2(R)1(I)2(R)1(I)1(R)1(I)1,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.3125,0.4375,0.0,[]
18,,Thu Oct 01 21:38:57 EDT 2020,SDUTIL.java,1601602737440,21446,0,(I)2(R)1(I)1(R)1(I)1(R)1(I)1(R)2(I)4(R)2(I)1,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.0,0.0,0.0,0.0,0.3333333333333333,0.47619047619047616,0.0,[]
19,,Thu Oct 01 21:39:18 EDT 2020,SDUTIL.java,1601602758925,56753,0,(I)2(R)1(I)3(R)1(I)2(R)3(I)2,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.08928571428571429,0.16071428571428573,0.0,[]
20,,Thu Oct 01 21:39:26 EDT 2020,SDUTIL.java,1601602766986,97480,0,(R)1(I)1(R)1(I)1(R)1(I)1(R)3(I)2(R)1(I)1(R)1(I)1(R)1(I)1(R)1(I)6,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.24742268041237114,0.0,0.0,0.0,0.0,0.10309278350515463,0.14432989690721648,0.0,[]
21,,Thu Oct 01 21:41:00 EDT 2020,SDUTIL.java,1601602860880,22945,0,(I)15,1.0,0.0,0.0,0.0,0.0,0.0,0.6818181818181818,0.0,0.0,0.0,0.0,0.0,0.6818181818181818,0.0,[]
22,,Thu Oct 01 21:41:25 EDT 2020,SDUTIL.java,1601602885519,2041,2041,(I)11(R)13,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,6.5,5.5,0.0,[]
23,,Thu Oct 01 21:41:28 EDT 2020,SDUTIL.java,1601602888367,11076,0,(R)15(I)1(R)2(I)3,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,1.9090909090909092,0.0,0.0,0.0,0.0,1.5454545454545454,0.36363636363636365,0.0,[]
24,,Thu Oct 01 21:41:40 EDT 2020,SDUTIL.java,1601602900340,10993,0,(I)1(R)2(I)2(R)2(I)17,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.4,2.0,0.0,[]
25,,Thu Oct 01 21:41:51 EDT 2020,SDUTIL.java,1601602911690,11090,0,(I)10(R)2(I)6(R)1(I)1,0.85,0.0,0.0,0.0,0.0,0.0,1.8181818181818181,0.0,0.0,0.0,0.0,0.2727272727272727,1.5454545454545454,0.0,[]
26,,Thu Oct 01 21:42:03 EDT 2020,SDUTIL.java,1601602923487,34290,0,(R)2(I)5(R)1(I)1(R)1(I)1(R)2(I)2(R)1(I)3(R)3,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.29411764705882354,0.35294117647058826,0.0,[]
27,,Thu Oct 01 21:42:46 EDT 2020,SDUTIL.java,1601602966146,5060,5060,(I)7(R)1(I)9(R)1(I)1(R)1(I)1,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.6,3.6,0.0,[]
28,,Thu Oct 01 21:42:58 EDT 2020,SDUTIL.java,1601602978924,4734,4734,(I)9(R)7,0.5625,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.75,2.25,0.0,[]
29,,Thu Oct 01 21:43:07 EDT 2020,SDUTIL.java,1601602987441,8402,8402,(R)6(I)1(R)11(I)1(R)6,0.08,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,2.875,0.25,0.0,[]
30,,Thu Oct 01 21:43:17 EDT 2020,SDUTIL.java,1601602997298,10623,0,(R)7(I)7(R)2(I)1(R)1(I)1,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,1.0,0.9,0.0,[]
