Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Wed Sep 23 17:05:08 EDT 2020,SDUTIL.java,1600895108946,27087,0,(R)11(I)11,0.5,0.0,0.0,0.0,0.0,0.0,0.8148148148148148,0.0,0.0,0.0,0.0,0.4074074074074074,0.4074074074074074,0.0,[]
,/modelData/A0UserStudy2010.arff,Wed Sep 23 17:05:08 EDT 2020,SDUTIL.java, 1600895108946
2,,Wed Sep 23 17:05:36 EDT 2020,SDControllerFactory.java,1600895136067,41935,0,(I)4(R)3(I)3(F)5(R)1(I)2(R)6,0.375,0.0,0.0,20.833333333333336,0.0,0.0,0.5853658536585366,0.0,0.0,0.12195121951219512,0.0,0.24390243902439024,0.21951219512195122,0.0,[]
3,,Wed Sep 23 17:06:18 EDT 2020,SDControllerFactory.java,1600895178009,15455,0,(R)2(F)1(I)2(R)18,0.08695652173913043,0.0,0.0,4.3478260869565215,0.0,0.0,1.5333333333333334,0.0,0.0,0.06666666666666667,0.0,1.3333333333333333,0.13333333333333333,0.0,[]
4,,Wed Sep 23 17:06:33 EDT 2020,SDControllerFactory.java,1600895193608,11230,0,(R)4(I)21,0.84,0.0,0.0,0.0,0.0,0.0,2.272727272727273,0.0,0.0,0.0,0.0,0.36363636363636365,1.9090909090909092,0.0,[]
5,,Wed Sep 23 17:06:44 EDT 2020,SDControllerFactory.java,1600895204924,20770,0,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,1.25,0.0,[]
6,,Wed Sep 23 17:06:45 EDT 2020,SDModelFactory.java,1600895205780,29312,0,(I)8(R)11,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.6551724137931034,0.0,0.0,0.0,0.0,0.3793103448275862,0.27586206896551724,0.0,[]
7,,Wed Sep 23 17:07:15 EDT 2020,SDModelFactory.java,1600895235097,5683,5683,(R)1(I)24,0.96,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.2,4.8,0.0,[]
8,,Wed Sep 23 17:07:20 EDT 2020,SDControllerInterpolation.java,1600895240789,9970,9970,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,[]
9,,Wed Sep 23 17:07:32 EDT 2020,SDControllerDerived.java,1600895252767,22643,0,(I)3(F)2(I)7,0.8333333333333334,0.0,0.0,16.666666666666664,0.0,0.0,0.5454545454545454,0.0,0.0,0.09090909090909091,0.0,0.0,0.45454545454545453,0.0,[]
10,,Wed Sep 23 17:07:55 EDT 2020,MVCApp.java,1600895275224,20946,0,(I)11,1.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.55,0.0,[]
11,,Wed Sep 23 17:08:16 EDT 2020,AWekaSDModel.java,1600895296570,32633,0,(I)9(R)1(I)1,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.34375,0.0,0.0,0.0,0.0,0.03125,0.3125,0.0,[]
12,,Wed Sep 23 17:08:48 EDT 2020,AWekaSDModel.java,1600895328035,7144,7144,(I)1(R)1(I)1(R)2(I)2(R)2(I)1(R)2(I)2(R)2(I)9,0.64,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,1.2857142857142858,2.2857142857142856,0.0,[]
13,,Wed Sep 23 17:08:55 EDT 2020,AWekaSDModel.java,1600895335197,10299,0,(I)9(R)3(I)1(R)1(I)1(R)2(I)1(R)1(I)3,0.6818181818181818,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.7,1.5,1.0,[1600895338105 55 UNC-Chapel Hill Single Sign-On https://sakai.unc.edu/Shibboleth.sso/Logout?return=https://sso.unc.edu/idp/logout.jsp]
14,,Wed Sep 23 17:09:05 EDT 2020,AWekaSDModel.java,1600895345498,33772,0,(I)1(R)1(I)6(F)7,0.4666666666666667,0.0,0.0,46.666666666666664,0.0,0.0,0.45454545454545453,0.0,0.0,0.21212121212121213,0.0,0.030303030303030304,0.21212121212121213,0.0,[]
15,,Wed Sep 23 17:09:39 EDT 2020,SDView.java,1600895379292,-16416,-16416,(F)1(D)2(F)1(D)6(R)2,0.0,66.66666666666666,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
16,,Wed Sep 23 17:09:22 EDT 2020,SDUTIL.java,1600895362891,82177,0,(R)2(I)2(F)1(D)2(I)16,0.782608695652174,8.695652173913043,0.0,4.3478260869565215,0.0,0.0,0.2804878048780488,0.0,0.024390243902439025,0.012195121951219513,0.0,0.024390243902439025,0.21951219512195122,0.0,[]
17,,Wed Sep 23 17:10:45 EDT 2020,SDUTIL.java,1600895445071,39321,0,(I)2(F)2(I)3(R)2(I)16,0.84,0.0,0.0,8.0,0.0,0.0,0.6410256410256411,0.0,0.0,0.05128205128205128,0.0,0.05128205128205128,0.5384615384615384,1.0,[1600895468468 71 Assignment-1.docx - Google Docs https://docs.google.com/document/d/1eyLXEkY5tqgnLRa5K4MWVybqZ6kCiM7x/edit#]
